WKT;codvia;lf_add;lt_add;rf_add;rt_add;tipcalle;nomcalle;longitud;tipnomcall
"LINESTRING (727738.295 4372901.104,727749.904 4372913.903,727769.961 4372982.877)";18810;0;0;2;4;C;CLARIANO;0.00000;C. CLARIANO
"LINESTRING (728229.6 4373106.757,728249.76 4373102.459)";62850;0;0;0;0;C;RAMON LLULL;0.00000;C. RAMON LLULL
"LINESTRING (728227.986 4373025.10699999984,728249.76 4373102.459)";62850;0;0;0;0;C;RAMON LLULL;0.00000;C. RAMON LLULL
"LINESTRING (728147.35 4373032.11699999962,728150.061 4373103.411)";81437;0;0;2;4;PSO;FACULTADES;0.00000;PSO. FACULTADES
"LINESTRING (728150.061 4373103.411,728153.222 4373209.9)";81437;0;0;6;12;PSO;FACULTADES;0.00000;PSO. FACULTADES
"LINESTRING (728127.481 4373102.51,728150.061 4373103.411)";81216;0;0;0;0;C;BERNAT FENOLLAR;0.00000;C. BERNAT FENOLLAR
"LINESTRING (728124.772 4373031.217,728147.35 4373032.11699999962)";81306;0;0;6;6;C;DOCTOR GARCIA DONATO;0.00000;C. DOCTOR GARCIA DONATO
"LINESTRING (729694.836 4373218.466,729687.173 4373221.47499999963,729684.162 4373226.671,729686.352 4373307.347,729688.815 4373309.808,729695.931 4373312.815)";54300;1;13;0;0;C;PADRE BENITO MENNI;0.00000;C. PADRE BENITO MENNI
"LINESTRING (729695.931 4373312.815,729695.803 4373332.484)";54300;0;0;0;0;C;PADRE BENITO MENNI;0.00000;C. PADRE BENITO MENNI
"LINESTRING (729695.803 4373332.484,729663.878 4373332.98)";69120;23;25;24;24;C;SAN RAFAEL;0.00000;C. SAN RAFAEL
"LINESTRING (729859.715 4372923.274,729857.074 4372908.103,729854.764 4372874.46399999969,729850.375 4372813.963)";44550;0;0;0;0;AV;MALVARROSA;0.00000;AV. MALVARROSA
"LINESTRING (729903.771 4372859.89099999983,729907.292 4372864.02699999977,729920.448 4372872.15099999961)";17820;0;0;2;4;C;CAVITE;0.00000;C. CAVITE
"LINESTRING (729943.536 4372856.995,729983.687 4372856.955)";390;3;3;0;0;C;ACEQUIA DE LA CADENA;0.00000;C. ACEQUIA DE LA CADENA
"LINESTRING (729589.934 4372979.256,729494.162 4373010.779)";42340;0;0;0;0;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (729494.162 4373010.779,729402.647 4373043.58)";42340;11;11;0;0;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (723335.082 4372942.207,723452.281 4372975.62899999972)";81652;7;7;6;6;C;VICENTE RIOS ENRIQUE (MESTRE ARTESA FONEDOR;0.00000;C. VICENTE RIOS ENRIQUE (MESTRE ARTESA FONEDOR
"LINESTRING (729666.188 4372954.28699999955,729666.739 4372978.38399999961)";9420;0;0;0;0;C;BEATO JUAN GRANDE;0.00000;C. BEATO JUAN GRANDE
"LINESTRING (729666.188 4372954.28699999955,729589.934 4372979.256)";42340;33;33;0;0;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (729396.349 4373017.62299999967,729497.57 4372983.793)";42340;0;0;14;16;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (729557.888 4372962.87299999967,729497.57 4372983.793)";42340;0;0;0;0;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (729624.635 4372939.207,729663.363 4372926.96899999958)";42340;0;0;34;34;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (729663.363 4372926.96899999958,729698.096 4372914.49299999978)";42340;0;0;36;36;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (729903.771 4372859.89099999983,729943.536 4372856.995)";390;1;1;2;8;C;ACEQUIA DE LA CADENA;0.00000;C. ACEQUIA DE LA CADENA
"LINESTRING (728725.955 4371529.72499999963,728689.816 4371542.65699999966)";38610;0;0;5;3;C;JOSE AGUILAR;0.00000;C. JOSE AGUILAR
"LINESTRING (728712.261 4371488.535,728725.955 4371529.72499999963)";38610;1;1;2;4;C;JOSE AGUILAR;0.00000;C. JOSE AGUILAR
"LINESTRING (727179.812 4371007.21899999958,727194.97 4370979.922)";80050;3;3;0;0;C;ADZANETA;0.00000;C. ADZANETA
"LINESTRING (727179.812 4371007.21899999958,727174.706 4371016.17499999981)";80050;0;0;0;0;C;ADZANETA;0.00000;C. ADZANETA
"LINESTRING (728533.035 4372454.025,728546.232 4372492.70199999958)";81139;27;31;0;0;C;POETA DURAN Y TORTAJADA;0.00000;C. POETA DURAN Y TORTAJADA
"LINESTRING (728533.035 4372454.025,728407.517 4372497.559)";81139;13;25;12;20;C;POETA DURAN Y TORTAJADA;0.00000;C. POETA DURAN Y TORTAJADA
"LINESTRING (728275.268 4372513.068,728257.774 4372461.363,728268.318 4372457.62299999967,728286.176 4372509.281)";29280;0;0;14;24;C;EXPLORADOR ANDRES;0.00000;C. EXPLORADOR ANDRES
"LINESTRING (728275.268 4372513.068,728286.176 4372509.281)";29280;0;0;0;0;C;EXPLORADOR ANDRES;0.00000;C. EXPLORADOR ANDRES
"LINESTRING (727103.727 4371975.80599999987,727145.259 4371961.29899999965)";37470;1;1;2;2;C;ISLAS CANARIAS;0.00000;C. ISLAS CANARIAS
"LINESTRING (727216.689 4371712.31099999975,727254.993 4371620.91199999955,727234.555 4371595.462)";58710;37;37;0;0;PSO;ALAMEDA;0.00000;PSO. ALAMEDA
"LINESTRING (727234.555 4371595.462,727246.249 4371596.32799999975,727255.773 4371595.62399999984,727265.649 4371589.28)";58710;0;0;0;0;PSO;ALAMEDA;0.00000;PSO. ALAMEDA
"LINESTRING (727339.024 4371322.075,727089.69 4371384.85699999984)";81698;0;0;0;0;LUG;PUENTE DEL REINO;0.00000;LUG. PUENTE DEL REINO
"LINESTRING (727076.998 4371379.18599999975,727067.705 4371397.426)";1710;0;0;0;0;C;ALCALDE REIG;0.00000;C. ALCALDE REIG
"LINESTRING (727724.021 4371240.369,727938.102 4371184.454)";30960;11;19;0;0;AV;FRANCIA;0.00000;AV. FRANCIA
"LINESTRING (727932.356 4371162.387,727743.322 4371206.542)";30960;0;0;2;14;AV;FRANCIA;0.00000;AV. FRANCIA
"LINESTRING (727395.56 4371293.11099999957,727416.689 4371275.239,727438.817 4371259.66199999955,727468.99 4371240.065,727500.169 4371224.488,727531.348 4371212.428,727563.533 4371200.871,727592.198 4371192.832,727621.869 4371186.802,727643.493 4371182.78199999966)";58710;0;0;0;0;PSO;ALAMEDA;0.00000;PSO. ALAMEDA
"LINESTRING (727700.384 4371248.829,727683.774 4371242.39599999972,727674.17 4371237.048,727664.615 4371231.019,727654.556 4371220.468,727647.516 4371207.403,727644.499 4371194.842,727643.493 4371182.78199999966)";81738;0;0;0;0;PL;EUROPA (PLAÇA);0.00000;PL. EUROPA (PLAÇA)
"LINESTRING (727643.493 4371182.78199999966,727648.019 4371170.22,727654.556 4371160.171,727661.291 4371152.62399999984,727672.413 4371145.122)";81738;0;0;0;0;PL;EUROPA (PLAÇA);0.00000;PL. EUROPA (PLAÇA)
"LINESTRING (727743.322 4371206.542,727738.037 4371216.949,727732.814 4371227.238,727724.021 4371240.369)";81738;0;0;0;0;PL;EUROPA (PLAÇA);0.00000;PL. EUROPA (PLAÇA)
"LINESTRING (727228.619 4371544.70299999975,727252.245 4371541.701,727260.005 4371545.22499999963,727267.412 4371551.217,727273.056 4371561.085,727274.114 4371573.068,727270.234 4371584.69799999986,727265.649 4371589.28)";58710;0;0;0;0;PSO;ALAMEDA;0.00000;PSO. ALAMEDA
"LINESTRING (727265.649 4371589.28,727283.372 4371608.582)";26190;0;0;0;0;C;EDUARDO BOSCA;0.00000;C. EDUARDO BOSCA
"LINESTRING (729738.774 4372901.73,729775.342 4372889.19699999969)";42340;0;0;0;0;AV;"NARANJOS, LOS";0.00000;"AV. NARANJOS, LOS"
"LINESTRING (727421.01 4371481.63,727433.654 4371470.02199999988,727462.077 4371444.631,727486.379 4371418.933)";56910;3;3;0;0;CMNO;PEÑARROCHA;0.00000;CMNO. PEÑARROCHA
"LINESTRING (727548.777 4371374.166,727537.295 4371369.42499999981,727530.461 4371371.815,727486.379 4371418.933)";56910;9;13;0;0;CMNO;PEÑARROCHA;0.00000;CMNO. PEÑARROCHA
"LINESTRING (727316.786 4371496.655,727378.295 4371509.97,727384.104 4371522.262)";81573;1;1;2;2;C;ENRIQUE VIEDMA VIDAL (ARQUITECTE);0.00000;C. ENRIQUE VIEDMA VIDAL (ARQUITECTE)
"LINESTRING (727337.476 4371572.455,727384.104 4371522.262)";56910;0;0;2;2;CMNO;PEÑARROCHA;0.00000;CMNO. PEÑARROCHA
"LINESTRING (727384.104 4371522.262,727392.306 4371533.529,727398.115 4371540.699,727407.315 4371559.696)";8250;0;0;0;0;AV;BALEARES;0.00000;AV. BALEARES
"LINESTRING (727381.323 4371371.172,727316.786 4371496.655)";58710;39;39;0;0;PSO;ALAMEDA;0.00000;PSO. ALAMEDA
"LINESTRING (727316.786 4371496.655,727298.613 4371525.303,727309.32 4371558.19,727316.458 4371562.54899999965,727337.476 4371572.455)";58710;38;38;0;0;PSO;ALAMEDA;0.00000;PSO. ALAMEDA
"LINESTRING (727401.214 4371322.46,727400.007 4371333.62399999984,727381.323 4371371.172)";30960;0;0;0;0;AV;FRANCIA;0.00000;AV. FRANCIA
"LINESTRING (727407.315 4371559.696,727443.958 4371545.60099999979)";8250;9;11;2;2;AV;BALEARES;0.00000;AV. BALEARES
"LINESTRING (727337.476 4371572.455,727336.327 4371579.43599999975,727334.264 4371587.684)";8250;0;0;0;0;AV;BALEARES;0.00000;AV. BALEARES
"LINESTRING (727334.264 4371587.684,727297.436 4371604.17899999954,727283.372 4371608.582)";8250;0;0;0;0;AV;BALEARES;0.00000;AV. BALEARES
"LINESTRING (727520.089 4371294.071,727549.887 4371375.80599999987)";64590;0;0;44;44;C;RIO ESCALONA;0.00000;C. RIO ESCALONA
"LINESTRING (721774.738 4375745.90099999961,721787.766 4375718.545)";81518;0;0;0;0;PL;EP CAMPAMENTO 12;0.00000;PL. EP CAMPAMENTO 12
