WKT;codvia;lf_add;lt_add;rf_add;rt_add;tipcalle;nomcalle;longitud;tipnomcall
"LINESTRING (721612.629 4375908.099,721642.103 4375827.57299999986)";17130;1;7;2;12;C;CASINOS;88.49137;C. CASINOS
"LINESTRING (721795.002 4375887.599,721711.43 4375853.63499999978,721667.835 4375836.837,721642.103 4375827.57299999986)";5370;1;27;2;24;C;ANDILLA;164.22341;C. ANDILLA
"LINESTRING (727515.191 4370761.22,727530.773 4370738.44799999986,727551.776 4370718.211,727601.283 4370678.489,727656.04 4370634.269,727706.297 4370593.797,727767.805 4370545.08,727799.309 4370518.848,727825.522 4370488.712)";81472;3;7;0;0;AV;PROFESSOR LOPEZ PIÑERO;0.00000;AV. PROFESSOR LOPEZ PIÑERO
"LINESTRING (721976.063 4375831.599,721975.001 4375849.099)";56790;23;23;0;0;C;PEGO;17.53222;C. PEGO
"LINESTRING (721976.063 4375831.599,722011.313 4375852.099)";3120;0;0;12;16;C;ALPUENTE;40.77760;C. ALPUENTE
"LINESTRING (721814.564 4375836.099,721795.002 4375887.599)";29820;93;99;64;72;C;FELIPE VALLS;55.09030;C. FELIPE VALLS
"LINESTRING (721814.564 4375836.099,721890.438 4375842.099,721906.751 4375843.099)";70320;1;11;2;14;C;SANTIAGO LOPE;92.45499;C. SANTIAGO LOPE
"LINESTRING (727473.738 4370738.849,727487.656 4370739.45299999975,727497.339 4370742.47599999979,727505.206 4370748.221,727511.862 4370755.47599999979,727515.191 4370761.22)";81472;0;0;0;0;AV;PROFESSOR LOPEZ PIÑERO;0.00000;AV. PROFESSOR LOPEZ PIÑERO
"LINESTRING (721533.566 4375887.6,721440.873 4375831.39099999983)";72570;67;75;56;56;C;CULLERA;96.57583;C. CULLERA
"LINESTRING (721906.751 4375843.099,721902.127 4375903.099)";29220;17;17;14;18;C;EVARISTO BAS;60.17799;C. EVARISTO BAS
"LINESTRING (721906.751 4375843.099,721975.001 4375849.099)";70320;13;19;16;26;C;SANTIAGO LOPE;68.51323;C. SANTIAGO LOPE
"LINESTRING (721975.001 4375849.099,722011.313 4375852.099)";70320;0;0;21;21;C;SANTIAGO LOPE;36.43621;C. SANTIAGO LOPE
"LINESTRING (722011.313 4375852.099,722053.251 4375873.099)";3120;0;0;18;26;C;ALPUENTE;46.90153;C. ALPUENTE
"LINESTRING (724599.828 4369148.03299999982,724615.153 4369203.388,724655.816 4369192.19799999986,724661.416 4369211.043,724590.695 4369231.36)";81546;1;6;0;0;PL;MIGUEL CATALA GOMIS (ADVOCAT);0.00000;PL. MIGUEL CATALA GOMIS (ADVOCAT)
"LINESTRING (721982.688 4375910.599,722053.251 4375873.099)";62790;11;21;0;0;C;RAMON JUAN;79.90817;C. RAMON JUAN
"LINESTRING (722053.251 4375873.099,722085.75 4375886.599)";3120;0;0;28;30;C;ALPUENTE;35.19233;C. ALPUENTE
"LINESTRING (721795.002 4375887.599,721790.439 4375899.599,721771.69 4375949.099,721771.128 4375950.099)";29820;101;113;76;84;C;FELIPE VALLS;66.91758;C. FELIPE VALLS
"LINESTRING (721795.002 4375887.599,721809.939 4375895.099,721890.439 4375902.099,721902.127 4375903.099)";42150;1;15;2;14;C;LORENZO SAIZ;109.24861;C. LORENZO SAIZ
"LINESTRING (724331.177 4377176.1,724329.365 4377171.6,724313.74 4377134.1,724308.865 4377120.6)";46200;1;9;2;12;C;MARQUES DE LACONI;59.82955;C. MARQUES DE LACONI
"LINESTRING (721533.566 4375887.6,721508.567 4375961.6,721493.005 4375985.1,721474.442 4376041.1,721467.317 4376062.6,721467.505 4376070.1)";54930;0;0;32;42;C;PADRE SIMO;195.44325;C. PADRE SIMO
"LINESTRING (721586.129 4375901.599,721533.566 4375887.6)";72570;61;61;48;52;C;CULLERA;54.39500;C. CULLERA
"LINESTRING (721586.129 4375901.599,721536.505 4376041.1,721525.442 4376072.1)";12240;7;37;2;34;C;BRONCHALES;180.97853;C. BRONCHALES
"LINESTRING (721612.629 4375908.099,721586.129 4375901.599)";72570;57;59;44;44;C;CULLERA;27.28553;C. CULLERA
"LINESTRING (721902.127 4375903.099,721895.939 4375983.099)";29220;19;27;20;34;C;EVARISTO BAS;80.23893;C. EVARISTO BAS
"LINESTRING (721902.127 4375903.099,721982.688 4375910.599)";42150;17;21;16;22;C;LORENZO SAIZ;80.91085;C. LORENZO SAIZ
"LINESTRING (721626.94 4375912.099,721612.629 4375908.099)";72570;55;55;0;0;C;CULLERA;14.86094;C. CULLERA
"LINESTRING (721948.251 4375927.599,721982.688 4375910.599)";62790;1;9;0;0;C;RAMON JUAN;38.40497;C. RAMON JUAN
"LINESTRING (727565.744 4370625.89599999972,727583.385 4370611.584,727606.986 4370594.654,727630.284 4370580.142,727652.069 4370567.445,727662.66 4370561.7,727675.67 4370553.53799999971)";81472;0;0;14;14;AV;PROFESSOR LOPEZ PIÑERO;0.00000;AV. PROFESSOR LOPEZ PIÑERO
"LINESTRING (721626.94 4375912.099,721581.005 4376041.1,721562.63 4376092.6)";55830;1;31;2;38;C;PARROCO MUÑOZ;191.61511;C. PARROCO MUÑOZ
"LINESTRING (721710.128 4375934.099,721626.94 4375912.099)";72570;33;53;28;42;C;CULLERA;86.04743;C. CULLERA
"LINESTRING (721710.128 4375934.099,721653.441 4376041.099,721604.255 4376134.1)";25650;1;43;2;58;C;DON QUIJOTE DE LA MANCHA;226.29521;C. DON QUIJOTE DE LA MANCHA
"LINESTRING (721771.128 4375950.099,721710.128 4375934.099)";72570;23;31;24;26;C;CULLERA;63.06346;C. CULLERA
"LINESTRING (727675.67 4370553.53799999971,727692.312 4370542.04899999965,727708.348 4370529.956,727732.951 4370508.62899999972,727785.437 4370451.43599999975)";81472;0;0;16;16;AV;PROFESSOR LOPEZ PIÑERO;0.00000;AV. PROFESSOR LOPEZ PIÑERO
"LINESTRING (726288.479 4375961.59499999974,726330.291 4375947.59399999958)";81371;1;3;2;2;C;TAVERNES BLANQUES;44.09405;C. TAVERNES BLANQUES
"LINESTRING (721771.128 4375950.099,721751.378 4375987.599)";29820;115;119;86;90;C;FELIPE VALLS;42.38293;C. FELIPE VALLS
"LINESTRING (721895.939 4375983.099,721890.439 4375981.599,721771.128 4375950.099)";72570;3;21;2;22;C;CULLERA;129.10154;C. CULLERA
"LINESTRING (726288.479 4375961.59499999974,726318.368 4376069.332)";62610;337;337;348;362;AV;CONSTITUCION;105.24156;AV. CONSTITUCION
"LINESTRING (727291.356 4370326.904,727232.576 4370426.70299999975)";81385;17;17;0;0;C;ESCRITOR RAFAEL FERRERES;0.00000;C. ESCRITOR RAFAEL FERRERES
"LINESTRING (726503.206 4371542.10699999984,726518.921 4371547.58)";38670;47;47;0;0;AV;REGNE DE VALENCIA;0.00000;AV. REGNE DE VALENCIA
"LINESTRING (721924.564 4375990.599,721921.064 4375989.599,721895.939 4375983.099)";72570;0;0;0;0;C;CULLERA;29.59223;C. CULLERA
"LINESTRING (721751.378 4375987.599,721679.978 4376125.621,721618.022 4376160.32199999969)";29820;121;179;92;116;C;FELIPE VALLS;149.97756;C. FELIPE VALLS
"LINESTRING (721751.378 4375987.599,721790.44 4376015.599,721819.378 4376036.099)";11130;1;11;2;16;C;BICORP;83.52426;C. BICORP
"LINESTRING (721525.442 4376072.1,721497.817 4376057.1,721467.505 4376070.1)";52290;0;0;0;0;C;NAVARRES;64.41724;C. NAVARRES
"LINESTRING (721467.505 4376070.1,721453.543 4376154.642,721442.166 4376204.024,721442.167 4376229.604)";54930;0;0;0;0;C;PADRE SIMO;112.22753;C. PADRE SIMO
"LINESTRING (721562.63 4376092.6,721525.442 4376072.1)";52290;0;0;4;20;C;NAVARRES;42.46363;C. NAVARRES
"LINESTRING (721604.255 4376134.1,721562.63 4376092.6)";52290;1;7;0;0;C;NAVARRES;58.77832;C. NAVARRES
"LINESTRING (725334.914 4376808.393,725345.485 4376828.098,725357.205 4376851.36799999978,725377.47 4376890.514,725391.947 4376922.131,725421.63 4376986.204,725499.484 4377134.599,725524.234 4377185.099,725529.734 4377197.599)";15300;25;25;0;0;CMNO;CARPESA A MONCADA;438.52367;CMNO. CARPESA A MONCADA
"LINESTRING (724490.266 4377062.62799999956,724495.634 4377062.03199999966,724501.896 4377060.542,724509.053 4377059.946,724516.508 4377058.15799999982,724523.069 4377057.264,724540.961 4377054.284,724554.38 4377050.11199999973,724566.551 4377044.599,724577.641 4377038.49,724590.464 4377028.359,724604.676 4377011.099,724624.55 4376990.099,724645.55 4376970.099,724661.363 4376955.099)";11790;0;0;0;0;ENTRD;BORBOTO;265.27155;ENTRD. BORBOTO
"LINESTRING (724661.363 4376955.099,724658.238 4376960.599,724655.113 4376974.599,724637.739 4377119.6,724633.051 4377167.6,724633.051 4377189.6,724633.051 4377217.1)";49500;343;343;0;0;CMNO;MONCADA;264.43595;CMNO. MONCADA
"LINESTRING (724355.615 4377040.6,724279.115 4377055.6)";81336;0;0;30;30;C;JOSEP RENAU;77.95672;C. JOSEP RENAU
"LINESTRING (724355.615 4377040.6,724365.873 4377074.995,724368.832 4377085.70199999958)";39510;1;3;0;0;C;JUAN BAUTISTA PASTOR;47.31783;C. JUAN BAUTISTA PASTOR
"LINESTRING (724279.115 4377055.6,724177.991 4377076.1)";81336;0;0;40;44;C;JOSEP RENAU;103.18195;C. JOSEP RENAU
"LINESTRING (724301.552 4377106.6,724279.115 4377055.6)";46200;15;15;16;24;C;MARQUES DE LACONI;55.71751;C. MARQUES DE LACONI
"LINESTRING (724366.677 4377086.6,724369.115 4377085.6,724375.052 4377083.6,724390.427 4377080.1,724441.65 4377068.923)";11790;13;27;24;26;ENTRD;BORBOTO;71.19319;ENTRD. BORBOTO
"LINESTRING (724466.404 4377207.639,724469.749 4377224.247,724470.954 4377232.27099999972,724472.962 4377242.301,724474.989 4377253.6)";19590;25;25;26;26;C;COMPOSITOR VERT;187.84685;C. COMPOSITOR VERT
"LINESTRING (724308.865 4377120.6,724366.677 4377086.6)";11790;1;5;2;12;ENTRD;BORBOTO;67.06926;ENTRD. BORBOTO
"LINESTRING (724381.205 4377195.847,724390.298 4377208.74,724395.872 4377224.247,724401.894 4377241.49899999984,724409.865 4377266.1)";39510;17;27;16;28;C;JUAN BAUTISTA PASTOR;185.03570;C. JUAN BAUTISTA PASTOR
"LINESTRING (724301.552 4377106.6,724254.052 4377117.6)";70590;1;7;2;6;C;SANTOS ABDON Y SENENT;48.75705;C. SANTOS ABDON Y SENENT
"LINESTRING (724308.865 4377120.6,724307.82 4377118.643,724305.552 4377115.6,724301.552 4377106.6)";46200;11;11;14;14;C;MARQUES DE LACONI;15.94078;C. MARQUES DE LACONI
"LINESTRING (724254.052 4377117.6,724193.366 4377131.6)";70590;9;21;8;14;C;SANTOS ABDON Y SENENT;62.28140;C. SANTOS ABDON Y SENENT
"LINESTRING (724331.177 4377176.1,724320.302 4377180.1)";40740;8;9;0;0;PL;"PATRONA, LA";11.58730;"PL. PATRONA, LA"
"LINESTRING (724337.427 4377199.6,724331.177 4377176.1)";40740;2;7;0;0;PL;"PATRONA, LA";24.31692;"PL. PATRONA, LA"
"LINESTRING (724320.302 4377180.1,724292.99 4377186.6,724266.802 4377189.6,724263.927 4377193.1,724261.99 4377197.1,724260.677 4377201.6)";21510;1;17;2;10;C;CRISTO DE LA LUZ;68.09554;C. CRISTO DE LA LUZ
"LINESTRING (724320.302 4377180.1,724325.99 4377204.1)";40740;10;11;0;0;PL;"PATRONA, LA";24.66470;"PL. PATRONA, LA"
"LINESTRING (725499.11 4377208.1,725529.734 4377197.599)";15270;107;109;0;0;AV;PALMARET;32.37500;AV. PALMARET
"LINESTRING (724325.99 4377204.1,724337.427 4377199.6)";40740;1;1;0;0;PL;"PATRONA, LA";12.29091;"PL. PATRONA, LA"
"LINESTRING (724337.427 4377199.6,724341.24 4377213.6,724374.115 4377269.6,724383.24 4377273.1)";1830;1;15;2;14;C;DOCTOR EMILI RAMON LLIN;89.21967;C. DOCTOR EMILI RAMON LLIN
"LINESTRING (724260.677 4377201.6,724259.177 4377205.1,724255.677 4377209.6,724254.177 4377213.6,724253.615 4377218.6,724250.116 4377286.1)";64580;0;0;2;11;C;RIO ESLA;86.40299;C. RIO ESLA
"LINESTRING (724325.99 4377204.1,724299.427 4377210.6,724305.302 4377229.1)";38730;1;11;2;8;C;JOSE BALAGUER;46.75668;C. JOSE BALAGUER
"LINESTRING (725364.735 4377253.6,725390.422 4377244.6,725499.11 4377208.1)";15270;103;105;0;0;AV;PALMARET;141.87113;AV. PALMARET
"LINESTRING (725499.11 4377208.1,725525.821 4377274.79899999965)";63930;1;5;2;4;C;REVERENDO JOSE VALERO;63.98095;C. REVERENDO JOSE VALERO
"LINESTRING (724523.246 4377242.076,724560.364 4377233.1,724590.426 4377227.1,724630.301 4377218.1,724633.051 4377217.1)";24030;41;45;0;0;C;DOCTOR CONSTANTINO GOMEZ;162.26135;C. DOCTOR CONSTANTINO GOMEZ
"LINESTRING (724305.302 4377229.1,724288.74 4377238.1,724306.615 4377274.6,724307.802 4377277.6)";50430;1;7;0;0;PL;MORERAL;62.71824;PL. MORERAL
"LINESTRING (724330.999 4377275.189,724317.325 4377261.837,724306.865 4377233.6,724305.302 4377229.1)";50430;9;15;0;0;PL;MORERAL;48.24290;PL. MORERAL
"LINESTRING (725295.986 4377276.1,725363.297 4377254.1,725364.735 4377253.6)";15270;81;81;0;0;AV;PALMARET;72.33845;AV. PALMARET
"LINESTRING (725394.547 4377330.1,725364.735 4377253.6)";33570;1;5;2;2;C;GERANIOS;82.10381;C. GERANIOS
"LINESTRING (724409.865 4377266.1,724474.989 4377253.6)";24030;19;33;12;22;C;DOCTOR CONSTANTINO GOMEZ;66.31377;C. DOCTOR CONSTANTINO GOMEZ
"LINESTRING (724474.989 4377253.6,724476.114 4377259.6,724481.739 4377289.6,724482.239 4377291.1,724489.801 4377312.1)";19590;27;27;28;34;C;COMPOSITOR VERT;60.52869;C. COMPOSITOR VERT
"LINESTRING (724383.24 4377273.1,724389.74 4377270.1,724409.865 4377266.1)";24030;15;17;8;10;C;DOCTOR CONSTANTINO GOMEZ;27.67758;C. DOCTOR CONSTANTINO GOMEZ
"LINESTRING (725525.821 4377274.79899999965,725499.072 4377285.76599999983,725485.922 4377291.1,725394.547 4377330.1)";44040;1;25;2;22;C;MAESTRO CRISTOBAL LEON;145.24586;C. MAESTRO CRISTOBAL LEON
"LINESTRING (724330.999 4377275.189,724337.44 4377277.82199999969,724343.177 4377278.6,724353.427 4377282.1,724374.115 4377277.6,724383.24 4377273.1)";24030;1;13;2;4;C;DOCTOR CONSTANTINO GOMEZ;60.20928;C. DOCTOR CONSTANTINO GOMEZ
"LINESTRING (724383.24 4377273.1,724390.427 4377276.1,724392.24 4377291.1,724394.823 4377313.084,724396.868 4377329.20799999963)";58110;1;3;2;6;C;PICHERA;92.88553;C. PICHERA
"LINESTRING (724250.116 4377286.1,724224.616 4377285.6,724219.928 4377284.1,724211.053 4377283.1,724203.116 4377283.6,724193.928 4377283.6,724131.928 4377280.6,724093.616 4377279.6,724068.303 4377279.1,724061.678 4377278.6,724048.117 4377277.1,724012.054 4377273.6)";11820;21;21;12;20;CMNO;BORBOTO A GODELLA;238.73495;CMNO. BORBOTO A GODELLA
"LINESTRING (725323.112 4377364.372,725317.923 4377346.6,725310.923 4377324.1,725303.861 4377301.1,725300.673 4377291.1,725297.048 4377279.1,725295.986 4377276.1)";33810;15;15;0;0;C;"GEPA, LA";104.50332;"C. GEPA, LA"
"LINESTRING (724307.802 4377277.6,724296.24 4377287.1,724250.116 4377286.1)";11820;1;5;2;10;CMNO;BORBOTO A GODELLA;61.10051;CMNO. BORBOTO A GODELLA
"LINESTRING (724335.496 4377342.29399999976,724336.33 4377345.98699999973,724338.012 4377349.978,724339.484 4377354.6,724342.427 4377362.37399999984,724344.427 4377370.60099999979,724349.99 4377440.10099999979,724352.49 4377466.10099999979,724347.363 4377503.61,724344.409 4377539.877,724341.663 4377564.78799999971,724340.846 4377588.972,724336.92 4377624.491,724329.836 4377638.483,724315.326 4377661.37,724309.314 4377673.222,724303.793 4377686.79899999965,724298.059 4377700.37799999956,724297.241 4377713.102,724297.241 4377730.602,724298.553 4377751.602,724301.928 4377776.102,724308.644 4377820.331)";11880;19;39;16;36;CMNO;BORBOTO A MASARROCHOS;557.03921;CMNO. BORBOTO A MASARROCHOS
"LINESTRING (725020.66 4377370.858,725069.148 4377355.228,725189.676 4377310.64099999983,725195.629 4377308.781)";15270;0;0;0;0;AV;PALMARET;142.78143;AV. PALMARET
"LINESTRING (725385.11 4377372.6,725380.11 4377340.6,725381.547 4377337.6,725390.422 4377332.6,725394.547 4377330.1)";15090;11;13;12;22;C;CARMELO VICENT;50.72488;C. CARMELO VICENT
"LINESTRING (725457.422 4377369.6,725553.751 4377340.61199999973)";70410;3;11;10;24;C;SANTA TRINITAT;97.18348;C. SANTA TRINITAT
"LINESTRING (725553.751 4377340.61199999973,725555.285 4377351.81,725557.68 4377370.763,725558.734 4377393.1,725558.484 4377396.6)";63930;13;17;0;0;C;REVERENDO JOSE VALERO;55.75265;C. REVERENDO JOSE VALERO
"LINESTRING (724695.552 4378728.105,724702.865 4378791.105,724703.615 4378804.105)";30060;47;65;34;48;C;FERRER Y BIGNE;76.44458;C. FERRER Y BIGNE
"LINESTRING (724507.741 4378792.605,724507.803 4378791.105,724508.803 4378739.605)";11730;1;1;2;4;C;BONREPOS;53.01101;C. BONREPOS
"LINESTRING (724580.116 4378780.105,724585.178 4378749.605)";54450;1;1;2;2;C;PADRE DIONISIO BOIX;30.91729;C. PADRE DIONISIO BOIX
"LINESTRING (724455.306 4378786.61,724431.297 4378783.48099999968,724400.933 4378779.08299999963,724363.562 4378774.70299999975,724351.453 4378775.12,724341.223 4378772.61699999962)";70380;0;0;48;56;C;SANTISIMA CRUZ;111.90625;C. SANTISIMA CRUZ
"LINESTRING (724627.491 4378784.605,724622.292 4378783.35599999968,724612.616 4378781.105,724600.178 4378779.105,724588.178 4378779.605,724580.116 4378780.105)";70380;9;11;12;20;C;SANTISIMA CRUZ;47.97597;C. SANTISIMA CRUZ
"LINESTRING (724580.116 4378780.105,724562.866 4378782.605,724545.178 4378785.605,724522.428 4378791.105,724510.428 4378793.105,724507.741 4378792.605)";70380;13;27;22;38;C;SANTISIMA CRUZ;73.67487;C. SANTISIMA CRUZ
"LINESTRING (724821.153 4378817.752,724836.053 4378808.18,725053.863 4378778.14)";75030;23;27;0;0;C;VENTA DEL MORO;205.21956;C. VENTA DEL MORO
"LINESTRING (724650.616 4378791.605,724627.491 4378784.605)";70380;7;7;8;10;C;SANTISIMA CRUZ;24.16124;C. SANTISIMA CRUZ
"LINESTRING (724455.306 4378786.61,724442.867 4378846.105,724437.179 4378876.605,724430.367 4378914.105,724420.804 4378965.105,724420.054 4378969.605)";60600;1;9;2;20;C;POLIÑA;181.84455;C. POLIÑA
"LINESTRING (724507.741 4378792.605,724477.436 4378790.364,724455.306 4378786.61)";70380;29;29;42;46;C;SANTISIMA CRUZ;53.10445;C. SANTISIMA CRUZ
"LINESTRING (724650.616 4378791.605,724661.616 4378865.105)";40620;1;7;2;12;C;"ELIANA, LA";74.31857;"C. ELIANA, LA"
"LINESTRING (724703.615 4378804.105,724693.615 4378803.105,724678.865 4378800.105,724669.802 4378797.605,724650.616 4378791.605)";70380;1;5;2;6;C;SANTISIMA CRUZ;54.60661;C. SANTISIMA CRUZ
"LINESTRING (724703.615 4378804.105,724704.052 4378811.605,724705.802 4378824.105,724713.052 4378859.605,724718.177 4378884.105,724718.74 4378888.105,724719.052 4378890.605)";30060;67;85;50;68;C;FERRER Y BIGNE;87.95652;C. FERRER Y BIGNE
"LINESTRING (725599.169 4375380.09399999958,725586.982 4375413.593)";70530;89;89;0;0;C;SANTO DOMINGO SAVIO;35.64807;C. SANTO DOMINGO SAVIO
"LINESTRING (725496.357 4375383.09399999958,725476.483 4375437.09399999958)";20280;0;0;0;0;C;CONDE DE TORREFIEL;57.54143;C. CONDE DE TORREFIEL
"LINESTRING (725586.982 4375413.593,725496.357 4375383.09399999958)";35460;89;95;0;0;AV;HERMANOS MACHADO;95.61977;AV. HERMANOS MACHADO
"LINESTRING (721300.939 4375425.6,721368.814 4375383.099)";32070;1;7;2;12;C;GABARDA;80.08287;C. GABARDA
"LINESTRING (721368.814 4375383.099,721390.439 4375396.599,721445.502 4375431.099)";76320;9;27;8;12;C;VILLAMARCHANTE;90.47086;C. VILLAMARCHANTE
"LINESTRING (722078.623 4375384.098,722066.686 4375404.598,722052.374 4375431.598)";25020;1;13;2;8;C;DOCTOR SORIANO BENLLOCH;54.28136;C. DOCTOR SORIANO BENLLOCH
"LINESTRING (722078.623 4375384.098,722099.435 4375395.598,722101.748 4375397.098)";67410;15;17;14;16;C;RAFAEL TENES ESCRICH;26.53474;C. RAFAEL TENES ESCRICH
"LINESTRING (721884.686 4375386.098,721884.124 4375389.598,721870.562 4375439.599)";28770;0;0;16;16;C;ESPERANZA;55.35168;C. ESPERANZA
"LINESTRING (721929.624 4375396.098,721890.436 4375387.098,721884.686 4375386.098)";37110;7;7;6;10;C;INGENIERO DICENTA;46.04402;C. INGENIERO DICENTA
"LINESTRING (723983.676 4375386.59499999974,723967.615 4375406.59499999974,723950.427 4375411.09499999974,723934.677 4375432.09499999974)";57570;0;0;0;0;C;PERIS CELDA;69.66841;C. PERIS CELDA
"LINESTRING (723983.676 4375386.59499999974,724000.489 4375425.59499999974)";5070;9;9;6;6;C;AMADEO DESFILIS;42.46952;C. AMADEO DESFILIS
"LINESTRING (724622.641 4371451.11799999978,724561.608 4371500.125,724493.304 4371525.07799999975,724490.965 4371535.12899999972)";62730;1;29;2;30;C;RAMON DE CASTRO;0.00000;C. RAMON DE CASTRO
"LINESTRING (721775.0 4375416.099,721761.212 4375411.96499999985,721699.33 4375394.223,721685.937 4375387.599)";37080;21;27;0;0;C;INGENIERO AUBAN;94.29344;C. INGENIERO AUBAN
"LINESTRING (723907.99 4375389.09499999974,723904.115 4375397.09499999974,723890.427 4375403.59499999974,723886.427 4375405.59499999974,723805.365 4375434.596,723774.115 4375438.096)";4050;0;0;2;5;C;ALQUERIA DELS MOROS;146.05280;C. ALQUERIA DELS MOROS
"LINESTRING (721300.939 4375425.6,721240.253 4375389.1)";13620;81;89;104;120;C;CAMPAMENTO;70.81824;C. CAMPAMENTO
"LINESTRING (724029.051 4375394.59499999974,724000.489 4375425.59499999974)";67050;5;5;6;6;C;SALVADOR RUBIO;42.15230;C. SALVADOR RUBIO
"LINESTRING (724029.051 4375394.59499999974,724065.926 4375426.09499999974)";63300;0;0;4;4;PL;REGINO MAS;48.49758;PL. REGINO MAS
"LINESTRING (721929.624 4375396.098,721914.375 4375450.098)";26730;17;23;22;32;C;ELIAS TORMO;56.11205;C. ELIAS TORMO
"LINESTRING (721977.311 4375407.098,721929.624 4375396.098)";37110;1;5;2;4;C;INGENIERO DICENTA;48.93973;C. INGENIERO DICENTA
"LINESTRING (724487.596 4373491.10599999968,724560.7 4373369.011,724608.294 4373273.701)";61590;1;9;2;6;C;PROFESOR BELTRAN BAGUENA;0.00000;C. PROFESOR BELTRAN BAGUENA
"LINESTRING (722101.748 4375397.098,722112.623 4375404.598)";67410;19;19;18;18;C;RAFAEL TENES ESCRICH;13.21044;C. RAFAEL TENES ESCRICH
"LINESTRING (724337.412 4375391.28899999987,724293.675 4375442.09499999974)";69390;1;5;2;6;C;SANCHEZ ARJONA;58.35506;C. SANCHEZ ARJONA
"LINESTRING (724337.412 4375391.28899999987,724376.772 4375425.39099999983)";80960;0;0;0;0;C;SALVADOR CERVERO;52.94573;C. SALVADOR CERVERO
"LINESTRING (727338.198 4373322.17499999981,727395.487 4373268.695)";61410;185;187;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (727104.644 4373533.337,727162.161 4373480.962)";61410;161;167;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (723723.116 4375408.596,723746.491 4375403.09499999974,723764.49 4375403.59499999974)";4050;0;0;0;0;C;ALQUERIA DELS MOROS;42.02029;C. ALQUERIA DELS MOROS
"LINESTRING (723774.115 4375438.096,723765.74 4375407.59499999974,723764.49 4375403.59499999974)";4050;0;0;0;0;C;ALQUERIA DELS MOROS;35.81972;C. ALQUERIA DELS MOROS
"LINESTRING (722112.623 4375404.598,722096.248 4375427.598,722078.436 4375456.598,722086.134 4375462.893,722088.136 4375487.64,722088.399 4375509.217,722088.649 4375519.966,722088.649 4375527.21499999985,722089.149 4375536.21399999969,722090.15 4375545.713)";41490;1;11;2;26;C;"PENYETES, LES";182.56333;"C. PENYETES, LES"
"LINESTRING (722112.623 4375404.598,722132.498 4375418.098)";67410;21;23;20;20;C;RAFAEL TENES ESCRICH;24.02635;C. RAFAEL TENES ESCRICH
"LINESTRING (726867.326 4373748.41299999971,726812.828 4373796.409)";61410;129;135;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (726465.017 4374095.216,726564.888 4374003.511)";61410;0;0;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (721977.311 4375407.098,721955.561 4375460.098)";29820;15;25;14;24;C;FELIPE VALLS;57.28929;C. FELIPE VALLS
"LINESTRING (725476.483 4375437.09399999958,725405.504 4375414.536)";35460;99;101;0;0;AV;HERMANOS MACHADO;72.12470;AV. HERMANOS MACHADO
"LINESTRING (721775.0 4375416.099,721764.938 4375515.099)";10590;27;29;26;38;C;BENIMODO;99.51007;C. BENIMODO
"LINESTRING (721816.437 4375426.099,721775.0 4375416.099)";37080;17;19;16;18;C;INGENIERO AUBAN;42.62706;C. INGENIERO AUBAN
"LINESTRING (722132.498 4375418.098,722183.56 4375459.098,722215.123 4375483.098)";67410;25;39;24;30;C;RAFAEL TENES ESCRICH;105.13658;C. RAFAEL TENES ESCRICH
"LINESTRING (725933.417 4374596.94799999986,725853.909 4374667.637,725842.699 4374673.028)";61410;1;17;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (726028.694 4374508.07799999975,726008.451 4374526.696,725996.121 4374537.971)";61410;27;27;0;0;AV;PRIMADO REIG;0.00000;AV. PRIMADO REIG
"LINESTRING (724259.613 4375421.59499999974,724249.8 4375432.59499999974,724224.238 4375462.09499999974,724210.051 4375478.59499999974)";23230;13;13;20;22;C;"NINOT, DEL";75.53595;"C. NINOT, DEL"
"LINESTRING (724259.613 4375421.59499999974,724293.675 4375442.09499999974)";15060;7;7;8;8;C;CARMELO RODA;39.75555;C. CARMELO RODA
"LINESTRING (723567.923 4373444.58299999963,723503.177 4373406.19699999969,723486.922 4373396.23099999968,723436.402 4373365.717)";81613;3;3;2;2;C;JORGE COMIN (METGE PEDIATRE);0.00000;C. JORGE COMIN (METGE PEDIATRE)
"LINESTRING (724000.489 4375425.59499999974,724023.364 4375478.09499999974)";5070;11;13;8;10;C;AMADEO DESFILIS;57.26706;C. AMADEO DESFILIS
"LINESTRING (721411.278 4375492.12399999984,721390.439 4375479.599,721300.939 4375425.6)";13620;63;75;76;102;C;CAMPAMENTO;134.58386;C. CAMPAMENTO
"LINESTRING (724023.364 4375478.09499999974,724045.239 4375463.09499999974,724067.051 4375438.09499999974,724065.926 4375426.09499999974)";63300;5;5;0;0;PL;REGINO MAS;71.75457;PL. REGINO MAS
"LINESTRING (724078.739 4375459.59499999974,724090.114 4375447.09499999974,724072.426 4375431.59499999974,724065.926 4375426.09499999974)";63300;0;0;0;0;PL;REGINO MAS;48.93363;PL. REGINO MAS
"LINESTRING (721816.437 4375426.099,721814.0 4375438.099,721801.812 4375488.099,721798.5 4375521.099)";71310;55;65;44;54;C;SILLA;96.87481;C. SILLA
