46;250;78210;NULL;;NULL
46;250;78240;NULL;MILITAR;NULL
46;250;78270;NULL;NULL;NULL
46;250;78300;NULL;LETRAS;Male      
46;250;78330;NULL;NULL;NULL
46;250;80030;NULL;NULL;NULL
46;250;80040;NULL;NULL;NULL
46;250;80050;NULL;NULL;NULL
46;250;80060;NULL;NULL;NULL
46;250;80070;MUNICIPI;NULL;NULL
46;250;80080;NULL;NULL;Male      
46;250;80100;MUNICIPI;NULL;Female    
46;250;80120;NULL;ARTE;Male      
46;250;80260;MUNICIPI;NULL;Female    
46;250;80270;NULL;NULL;Male      
46;250;80280;MUNICIPI;NULL;NULL
46;250;80290;NULL;MILITAR;Male      
46;250;80300;NULL;TITULO;NULL
46;250;80310;NULL;TITULO;Male      
46;250;80320;NULL;ARTE;Female    
46;250;80330;NULL;NULL;Male      
46;250;80340;NULL;NULL;Male      
46;250;80350;NULL;LETRAS;Male      
46;250;80360;NULL;NULL;Male      
46;250;80370;NULL;RELIGION;Female    
46;250;80390;NULL;NULL;NULL
46;250;80400;NULL;LETRAS;NULL
46;250;80410;NULL;RELIGION;Female    
46;250;80420;MUNICIPI;NULL;NULL
46;250;80430;NULL;NULL;NULL
46;250;80460;MUNICIPI;NULL;Female    
46;250;80520;NULL;POLITICA;NULL
46;250;80530;NULL;NULL;NULL
46;250;80600;NULL;NULL;Male      
46;250;80610;MUNICIPI;NULL;NULL
46;250;80630;NULL;LETRAS;NULL
46;250;80640;NULL;RELIGION;Male      
46;250;80650;NULL;RELIGION;NULL
46;250;80660;NULL;LETRAS;Male      
46;250;80670;MUNICIPI;NULL;NULL
46;250;80690;NULL;LETRAS;Male      
46;250;80820;NULL;NULL;NULL
46;250;80890;NULL;NULL;NULL
46;250;80920;NULL;ARTE;Male      
46;250;80930;NULL;LETRAS;Male      
46;250;80940;NULL;NULL;NULL
46;250;80950;NULL;LETRAS;Male      
46;250;80960;NULL;ARTE;Male      
46;250;80970;NULL;ARTE;Male      
46;250;80990;NULL;ARTE;NULL
46;250;81000;NULL;ARTE;NULL
46;250;81010;NULL;LETRAS;Male      
46;250;81020;NULL;LETRAS;Male      
46;250;81030;MUNICIPI;NULL;NULL
46;250;81040;NULL;NULL;Male      
46;250;81050;MUNICIPI;NULL;NULL
46;250;81060;NULL;NULL;NULL
46;250;81070;NULL;NULL;Male      
46;250;81080;MUNICIPI;NULL;NULL
46;250;81090;NULL;NULL;NULL
46;250;81100;MUNICIPI;NULL;NULL
46;250;81101;NULL;POLITICA;Male      
46;250;81105;NULL;POLITICA;Male      
46;250;81106;NULL;LETRAS;Male      
46;250;81107;NULL;LETRAS;Male      
46;250;81108;NULL;ARTE;Male      
46;250;81109;NULL;MILITAR;Male      
46;250;81110;NULL;NULL;Male      
46;250;81111;NULL;NULL;Male      
46;250;81112;NULL;RELIGION;Male      
46;250;81113;NULL;TITULO;Female    
46;250;81114;NULL;TITULO;Male      
46;250;81115;NULL;NULL;Male      
46;250;81116;NULL;NULL;Male      
46;250;81117;NULL;NULL;Male      
46;250;81118;NULL;LETRAS;Male      
46;250;81119;NULL;MILITAR;Male      
46;250;81120;NULL;NULL;Male      
46;250;81121;NULL;NULL;Male      
46;250;81122;NULL;LETRAS;Male      
46;250;81123;NULL;NULL;Male      
46;250;81124;NULL;NULL;Male      
46;250;81125;NULL;NULL;Male      
46;250;81126;NULL;LUGAR;Female    
46;250;81127;NULL;ARTE;Male      
46;250;81128;NULL;ARTE;Male      
46;250;81129;MUNICIPI;NULL;NULL
46;250;81130;NULL;NULL;NULL
46;250;81132;NULL;RELIGION;Male      
46;250;81133;NULL;POLITICA;NULL
46;250;81134;NULL;LETRAS;Male      
46;250;81135;NULL;CIENCIA;Male      
46;250;81137;NULL;MILITAR;Female    
46;250;81138;NULL;LETRAS;Male      
46;250;81139;NULL;LETRAS;NULL
46;250;81140;NULL;LETRAS;Male      
46;250;81141;NULL;NULL;NULL
46;250;81142;NULL;NULL;Male      
46;250;81143;NULL;LETRAS;NULL
46;250;81144;NULL;NULL;NULL
46;250;81145;MUNICIPI;NULL;NULL
46;250;81146;NULL;NULL;NULL
46;250;81147;NULL;RELIGION;Female    
46;250;81148;NULL;NULL;NULL
46;250;81149;NULL;NULL;Male      
46;250;81150;NULL;NULL;Male      
46;250;81151;NULL;NULL;NULL
46;250;81152;NULL;ARTE;Male      
46;250;81153;NULL;RELIGION;Female    
46;250;81154;NULL;CIENCIA;Male      
46;250;81155;NULL;ARTE;Male      
46;250;81156;NULL;RELIGION;NULL
46;250;81157;NULL;NULL;Female    
46;250;81158;NULL;NULL;NULL
46;250;81159;NULL;CIENCIA;Male      
46;250;81160;NULL;NULL;NULL
46;250;81161;NULL;NULL;Female    
46;250;81162;NULL;ARTE;Male      
46;250;81163;MUNICIPI;NULL;NULL
46;250;81164;NULL;NULL;Male      
46;250;81165;NULL;NULL;NULL
46;250;81166;NULL;POLITICA;Male      
46;250;81167;NULL;ARTE;Male      
46;250;81168;NULL;RELIGION;NULL
46;250;81169;NULL;POLITICA;Female    
46;250;81170;NULL;POLITICA;Male      
46;250;81171;NULL;TITULO;Male      
46;250;81172;NULL;ARTE;NULL
46;250;81173;NULL;LETRAS;Male      
46;250;81174;NULL;LETRAS;Male      
46;250;81175;NULL;LETRAS;NULL
46;250;81176;NULL;CIENCIA;Male      
46;250;81177;NULL;CIENCIA;Male      
46;250;81178;NULL;RELIGION;Male      
46;250;81179;NULL;ARTE;Male      
46;250;81180;NULL;LETRAS;Male      
46;250;81181;NULL;MILITAR;Male      
46;250;81182;NULL;RELIGION;NULL
