"","ciudad","TVIA","NVIA","Latitud","longitud","NOMBRE"
"1282","Madrid","CALLE","TORREADRADA                                       ","41,4443","-3,839415","Castilla y León"
"1283","Madrid","CALLE","MARACENA                                          ","37,20568","-3,636805","Andalucía"
"1284","Madrid","CALLE","NAVARREDONDA DE GREDOS                            ","40,36239","-5,13352","Castilla y León"
"1285","Madrid","CALLE","POZA DE LA SAL                                    ","42,66542","-3,501162","Castilla y León"
"1286","Madrid","CALLE","ALESANCO                                          ","42,41421","-2,8169","Rioja, La"
"1287","Madrid","CALLE","ALMENDRALEJO                                      ","38,68982","-6,405679","Extremadura"
"1288","Madrid","CALLE","ARENAS                                            ","36,81469","-4,043716","Andalucía"
"1289","Madrid","CALLE","BARLOVENTO                                        ","28,82735","-17,80326","Canarias"
"1290","Madrid","CALLE","FUENCALIENTE                                      ","38,40664","-4,304459","Castilla-La Mancha"
"1291","Madrid","CALLE","FUENTELAPEÑA                                      ","41,2514","-5,385036","Castilla y León"
"1292","Madrid","CALLE","PEDRALBA                                          ","39,60485","-0,7265272","Comunitat Valenciana"
"1293","Madrid","CALLE","SANTA CRUZ DE MUDELA                              ","38,64534","-3,467174","Castilla-La Mancha"
"1294","Madrid","CALLE","SANTOVENIA                                        ","41,87843","-5,709144","Castilla y León"
"1295","Madrid","CALLE","TINAJO                                            ","29,06644","-13,67695","Canarias"
"1296","Madrid","CALLE","AZAGRA                                            ","42,30789","-1,894474","Navarra, Comunidad Foral de"
