"","ciudad","TVIA","origen","Latitud","longitud","comunidad"
"82","Barcelona","C    ","Calldetenes","41,92522","2,283792","Cataluña"
"83","Barcelona","C    ","Canet de Mar","41,58897","2,581924","Cataluña"
"84","Barcelona","C    ","Canovelles","41,61582","2,283456","Cataluña"
"85","Barcelona","C    ","Cànoves i Samalús","41,69384","2,353842","Cataluña"
"86","Barcelona","AV   ","Canyelles","41,28708","1,721569","Cataluña"
"87","Barcelona","C    ","Capellades","41,53075","1,679613","Cataluña"
"88","Barcelona","C    ","Casserres","42,01234","1,845834","Cataluña"
"89","Barcelona","C    ","Castellar de n'Hug","42,28326","2,016574","Cataluña"
"90","Barcelona","C    ","Castellar del Vallès","41,61618","2,085649","Cataluña"
"91","Barcelona","PL   ","Castellbell i el Vilar","41,63389","1,863889","Cataluña"
"92","Barcelona","C    ","Castellbisbal","41,47467","1,981407","Cataluña"
"93","Barcelona","PTGE ","Castellbisbal","41,47467","1,981407","Cataluña"
"94","Barcelona","C    ","Castelldefels","41,28039","1,976774","Cataluña"
"95","Barcelona","CTRA ","Castellet i la Gornal","41,25391","1,592478","Cataluña"
"96","Barcelona","C    ","Castellnou de Bages","41,83533","1,837383","Cataluña"
"97","Barcelona","C    ","Castellterçol","41,74788","2,12309","Cataluña"
"98","Barcelona","CTRA ","Castellterçol","41,74788","2,12309","Cataluña"
"99","Barcelona","C    ","Centelles","41,79659","2,221327","Cataluña"
"100","Barcelona","CTRA ","Cerdanyola del Vallès","41,49137","2,140769","Cataluña"
"101","Barcelona","C    ","Collbató","41,56639","1,830136","Cataluña"
"102","Barcelona","CRA  ","Corbera de Llobregat","41,41764","1,932827","Cataluña"
"103","Barcelona","C    ","Cornellà de Llobregat","41,35561","2,070432","Cataluña"
"104","Barcelona","C    ","Dosrius","41,59482","2,405386","Cataluña"
"105","Barcelona","C    ","Esparreguera","41,53889","1,870692","Cataluña"
"106","Barcelona","C    ","Estany, L'","41,86858","2,113499","Cataluña"
"107","Barcelona","C    ","Franqueses del Vallès, Les","41,61889","2,298056","Cataluña"
"108","Barcelona","C    ","Gavà","41,30317","2,003213","Cataluña"
"109","Barcelona","C    ","Gironella","42,03363","1,8825","Cataluña"
"110","Barcelona","C    ","Granollers","41,60821","2,287789","Cataluña"
"111","Barcelona","C    ","Gurb","41,95394","2,235545","Cataluña"
"112","Barcelona","C    ","Hospitalet de Llobregat, L'","41,35958","2,099704","Cataluña"
"113","Barcelona","AVDA ","Hostalets de Pierola, Els","41,53416","1,765952","Cataluña"
"114","Barcelona","AVGDA","Igualada","41,57877","1,617193","Cataluña"
"115","Barcelona","C    ","Llagosta, La","41,51321","2,193246","Cataluña"
"116","Barcelona","C    ","Lliçà d'Amunt","41,60865","2,239443","Cataluña"
"117","Barcelona","C    ","Lliçà de Vall","41,59081","2,242733","Cataluña"
"118","Barcelona","C    ","Llinars del Vallès","41,63935","2,404427","Cataluña"
"119","Barcelona","AV   ","Malgrat de Mar","41,64655","2,741634","Cataluña"
"120","Barcelona","C    ","Manlleu","41,99995","2,284165","Cataluña"
"121","Barcelona","C    ","Manresa","41,72517","1,823353","Cataluña"
"122","Barcelona","C    ","Martorell","41,47355","1,927682","Cataluña"
"123","Barcelona","C    ","Masies de Roda, Les","41,98956","2,317853","Cataluña"
"124","Barcelona","C    ","Masies de Voltregà, Les","42,02114","2,234093","Cataluña"
"125","Barcelona","C    ","Masnou, El","41,47931","2,319244","Cataluña"
"126","Barcelona","C    ","Masquefa","41,50307","1,811926","Cataluña"
"127","Barcelona","C    ","Mataró","41,5375","2,445278","Cataluña"
"128","Barcelona","C    ","Mediona","41,48333","1,616667","Cataluña"
"129","Barcelona","CTRA ","Moià","41,81277","2,097428","Cataluña"
"130","Barcelona","AV   ","Molins de Rei","41,41392","2,015836","Cataluña"
"131","Barcelona","C    ","Mollet del Vallès","41,54052","2,213529","Cataluña"
"132","Barcelona","CTRA ","Montesquiu","42,11001","2,210174","Cataluña"
"133","Barcelona","C    ","Montgat","41,46645","2,279088","Cataluña"
"134","Barcelona","C    ","Montmeló","41,55146","2,248465","Cataluña"
"135","Barcelona","C    ","Navarcles","41,75158","1,903257","Cataluña"
"136","Barcelona","C    ","Navàs","41,90007","1,879363","Cataluña"
"137","Barcelona","AV   ","Òdena","41,60673","1,640909","Cataluña"
"138","Barcelona","C    ","Olèrdola","41,32195","1,723056","Cataluña"
"139","Barcelona","AV   ","Olèrdola","41,32195","1,723056","Cataluña"
"140","Barcelona","C    ","Olesa de Montserrat","41,5434","1,888153","Cataluña"
"141","Barcelona","C    ","Olost","41,98582","2,095717","Cataluña"
"142","Barcelona","C    ","Oristà","41,93243","2,060313","Cataluña"
"143","Barcelona","C    ","Òrrius","41,55499","2,355113","Cataluña"
"144","Barcelona","PTGE ","Palafolls","41,66497","2,749768","Cataluña"
"145","Barcelona","C    ","Pallejà","41,42372","1,996701","Cataluña"
"146","Barcelona","VIA  ","Pallejà","41,42372","1,996701","Cataluña"
"147","Barcelona","C    ","Papiol, El","41,43895","2,010686","Cataluña"
"148","Barcelona","C    ","Parets del Vallès","41,57355","2,233794","Cataluña"
"149","Barcelona","AV   ","Piera","41,51797","1,743268","Cataluña"
"150","Barcelona","C    ","Piera","41,51797","1,743268","Cataluña"
"151","Barcelona","PTGE ","Piera","41,51797","1,743268","Cataluña"
"152","Barcelona","C    ","Pineda de Mar","41,62751","2,689454","Cataluña"
"153","Barcelona","C    ","Pla del Penedès, El","41,41798","1,71032","Cataluña"
"154","Barcelona","C    ","Pobla de Claramunt, La","41,55298","1,675936","Cataluña"
"155","Barcelona","PL   ","Polinyà","41,5575","2,156243","Cataluña"
"156","Barcelona","C    ","Pont de Vilomara i Rocafort, El","41,69987","1,870855","Cataluña"
"157","Barcelona","C    ","Prat de Llobregat, El","41,33047","2,093149","Cataluña"
"158","Barcelona","C    ","Prats de Rei, Els","41,7055","1,541531","Cataluña"
"159","Barcelona","AV   ","Premià de Dalt","41,50655","2,343058","Cataluña"
"160","Barcelona","C    ","Premià de Mar","41,48958","2,356536","Cataluña"
"161","Barcelona","C    ","Puig-reig","41,97446","1,878855","Cataluña"
"162","Barcelona","CTRA ","Ripollet","41,49736","2,155674","Cataluña"
"163","Barcelona","C    ","Roca del Vallès, La","41,59053","2,326258","Cataluña"
"164","Barcelona","C    ","Roda de Ter","41,98597","2,311212","Cataluña"
"165","Barcelona","PTGE ","Rubí","41,49233","2,031262","Cataluña"
"166","Barcelona","AV   ","Rubí","41,49233","2,031262","Cataluña"
"167","Barcelona","C    ","Rubí","41,49233","2,031262","Cataluña"
"168","Barcelona","PL   ","Sabadell","41,54862","2,107421","Cataluña"
"169","Barcelona","CTRA ","Sabadell","41,54862","2,107421","Cataluña"
"170","Barcelona","C    ","Sallent","41,8242","1,89493","Cataluña"
"171","Barcelona","C    ","Sant Adrià de Besòs","41,4306","2,218239","Cataluña"
"172","Barcelona","C    ","Sant Andreu de Llavaneres","41,57237","2,482367","Cataluña"
"173","Barcelona","C    ","Sant Antoni de Vilamajor","41,6737","2,400859","Cataluña"
"174","Barcelona","C    ","Sant Boi de Llobregat","41,34739","2,043103","Cataluña"
"175","Barcelona","C    ","Sant Celoni","41,69019","2,49167","Cataluña"
"176","Barcelona","PL   ","Sant Cugat del Vallès","41,47186","2,082139","Cataluña"
